sku_id,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
1066,Munchies,Maggi 2-Minute Instant Noodles - Masala,4400,0,0,4400,280,TRUE,280
1067,Munchies,Popular Essentials Phool Makhana (Jumbo Size),15000,14,0,12800,100,TRUE,100
1068,Munchies,Aashirvaad Atta With Mutigrains,31500,8,0,28700,5000,TRUE,5
1069,Munchies,Tata Sampann Poha,4400,6,0,4100,500,TRUE,500
1070,Munchies,Fortune Besan Flour,12000,0,0,12000,1000,TRUE,1
1071,Munchies,Popular Essentials Toor Dal (Un-Polished),8000,7,0,7400,500,TRUE,500
1072,Munchies,Everest Tikhalal Hot & Red Chilly Powder,4700,2,0,4600,100,TRUE,100
1073,Munchies,Popular Essentials Chia Seeds,5000,2,0,4900,100,TRUE,100
1074,Munchies,Tata Sampann Unpolished Toor Dal/Arhar Dal,17900,1,0,17700,1000,TRUE,200
1075,Munchies,Everest Coriander Powder,3200,3,0,3100,100,TRUE,100
1076,Munchies,Satyam Thin Poha Patla,3800,7,0,3500,500,TRUE,500
1077,Munchies,Popular Essentials Sona Masouri Raw Rice,7500,0,0,7500,1000,TRUE,1
1078,Munchies,Tata Sampann High Protien Chana Dal - Split,6400,0,0,6400,500,TRUE,500
1079,Munchies,Satyam Singdana ,11900,6,0,11100,500,TRUE,500
1080,Munchies,Tata Sampann Moong Chilka ,8800,6,0,8200,500,TRUE,500
1081,Munchies,Tata Sampann High Protien Toor Dal - Split,9100,2,0,8900,500,TRUE,500
